TANGGAL,RR,RH_AVG,TAVG,SS,FF_AVG
2022-04-27,0.0,88.0,25.7,3.84,3.0
2022-04-28,36.6,85.0,26.5,2.24,3.0
2022-04-29,18.3,85.0,27.1,2.24,3.0
2022-04-30,0.0,88.0,26.2,1.04,3.0
2022-05-01,4.1,89.0,26.2,2.88,3.0
2022-05-02,8.2,91.0,25.5,4.32,3.0
2022-05-03,19.3,83.0,26.4,5.68,3.0
2022-05-04,0.0,88.0,25.8,5.04,4.0
2022-05-05,25.2,83.0,26.9,7.28,4.0
2022-05-06,1.0,81.0,28.0,7.04,4.0
2022-05-07,0.0,85.0,27.1,5.52,3.0
2022-05-08,0.0,79.0,28.2,8.0,3.0
2022-05-09,0.0,86.0,26.9,4.72,3.0
2022-05-10,8.1,80.0,28.1,7.84,4.0
2022-05-11,3.0,86.0,27.7,4.24,3.0
2022-05-12,2.0,78.0,27.6,2.72,4.0
2022-05-13,1.0,79.0,28.2,8.0,5.0
2022-05-14,0.0,84.0,27.6,4.32,3.0
2022-05-15,5.9,85.0,26.8,5.44,3.0
2022-05-16,7.95,85.0,26.8,5.84,4.0
2022-05-17,10.0,86.0,26.8,5.68,3.0
2022-05-18,34.5,92.0,25.5,4.48,3.0
2022-05-19,12.6,87.0,26.2,4.72,3.0
2022-05-20,0.5,88.0,25.6,5.04,3.0
2022-05-21,31.9,86.0,25.6,2.64,4.0
2022-05-22,2.7,87.0,25.8,2.4,3.0
2022-05-23,0.0,82.0,27.1,7.44,4.0
2022-05-24,0.0,79.0,26.7,4.24,5.0
2022-05-25,0.0,85.0,26.2,0.0,5.0
2022-05-26,0.0,87.0,25.8,0.32,3.0
2022-05-27,0.0,78.0,26.8,8.0,2.0
2022-05-28,48.5,92.0,24.3,0.0,4.0
2022-05-29,1.0,85.0,25.7,2.48,2.0
2022-05-30,2.75,90.0,24.9,0.64,3.0
2022-05-31,4.5,88.0,25.2,2.4,3.0
2022-06-01,0.8,83.0,25.9,6.64,4.0
2022-06-02,13.1,88.0,26.1,4.72,3.0
2022-06-03,25.4,87.0,25.9,5.68,3.0
2022-06-04,3.8,83.0,26.3,6.4,3.0
2022-06-05,41.3,87.0,25.4,5.92,4.0
2022-06-06,26.0,90.0,24.4,2.8,3.0
2022-06-07,71.4,85.0,25.4,6.08,3.0
2022-06-08,35.7,88.0,26.1,5.12,4.0
2022-06-09,0.0,93.0,24.1,3.52,3.0
2022-06-10,130.4,84.0,26.1,7.6,3.0
2022-06-11,24.3,89.0,25.4,4.0,3.0
2022-06-12,7.5,87.0,25.6,6.24,3.0
2022-06-13,5.2,88.0,25.7,4.4,3.0
2022-06-14,7.5,87.0,25.8,3.84,3.0
2022-06-15,4.5,90.0,25.2,0.08,3.0
2022-06-16,1.5,88.0,25.0,1.12,3.0
2022-06-17,0.0,91.0,24.4,2.0,3.0
2022-06-18,31.5,84.0,24.7,4.72,4.0
2022-06-19,0.4,81.0,25.9,8.0,3.0
2022-06-20,0.0,85.0,25.3,6.48,3.0
2022-06-21,0.6,81.0,26.0,7.6,4.0
2022-06-22,1.7,90.0,25.5,1.92,4.0
2022-06-23,3.0,80.0,26.6,6.8,3.0
2022-06-24,0.0,86.0,25.1,4.32,4.0
2022-06-25,15.5,89.0,24.6,4.32,3.0
2022-06-26,33.8,90.0,25.0,0.4,2.0
2022-06-27,0.6,86.0,26.1,5.04,2.0
2022-06-28,2.9,86.0,26.1,7.44,3.0
2022-06-29,28.6,79.0,25.6,7.92,3.0
2022-06-30,0.0,70.0,25.4,7.84,4.0
2022-07-01,11.0,76.0,25.9,8.0,2.0
2022-07-02,0.0,80.0,25.9,5.84,2.0
2022-07-03,19.4,85.0,27.1,5.68,5.0
2022-07-04,0.9,85.0,27.4,8.0,3.0
2022-07-05,0.0,85.0,26.4,7.28,3.0
2022-07-06,0.0,84.0,25.6,0.4,3.0
2022-07-07,13.0,86.0,26.4,7.92,3.0
2022-07-08,0.8,79.0,27.2,7.6,2.0
2022-07-09,0.0,83.0,25.9,5.68,4.0
2022-07-10,0.0,80.0,25.6,7.44,3.0
2022-07-11,0.0,79.0,26.3,5.12,3.0
2022-07-12,0.0,84.0,26.8,1.92,5.0
2022-07-13,44.4,86.0,25.5,1.28,5.0
2022-07-14,44.2,84.0,26.6,7.28,4.0
2022-07-15,99.69999999999999,85.0,25.8,5.68,3.0
2022-07-16,155.2,87.0,23.2,0.0,3.0
2022-07-17,7.0,86.0,26.0,0.88,4.0
2022-07-18,0.0,76.0,26.3,6.24,3.0
2022-07-19,3.25,76.0,26.6,7.28,3.0
2022-07-20,6.5,78.0,27.3,6.24,4.0
2022-07-21,0.0,84.0,26.8,7.84,4.0
2022-07-22,0.0,90.0,26.7,4.08,4.0
2022-07-23,0.0,78.0,26.8,6.4,4.0
2022-07-24,46.6,82.0,25.8,6.88,3.0
2022-07-25,7.9,81.0,25.7,2.88,3.0
2022-07-26,2.0,85.0,26.1,7.2,3.0
2022-07-27,0.0,85.0,25.8,6.48,5.0
2022-07-28,0.0,87.0,26.5,6.88,4.0
2022-07-29,0.0,88.0,27.2,8.0,3.0
2022-07-30,0.0,86.0,26.3,4.4,4.0
2022-07-31,0.0,81.0,26.2,6.08,3.0
2022-08-01,0.0,76.0,26.3,7.52,4.0
2022-08-02,0.0,80.0,26.9,7.2,4.0
2022-08-03,8.5,85.0,26.3,4.4,3.0
2022-08-04,23.5,85.0,25.9,3.84,4.0
2022-08-05,4.5,85.0,25.9,7.12,2.0
2022-08-06,0.0,84.0,25.3,6.32,3.0
2022-08-07,3.6,86.0,24.8,6.24,3.0
2022-08-08,24.0,79.0,26.3,7.44,3.0
2022-08-09,3.5,83.0,25.3,7.52,3.0
2022-08-10,8.0,80.0,26.4,5.92,4.0
2022-08-11,1.6,79.0,27.1,8.0,4.0
2022-08-12,0.4,84.0,26.4,5.6,3.0
2022-08-13,4.0,86.0,25.3,6.48,4.0
2022-08-14,29.0,84.0,25.4,6.8,4.0
2022-08-15,8.0,85.0,25.9,6.72,5.0
2022-08-16,23.0,87.0,25.5,5.6,3.0
2022-08-17,47.5,86.0,26.2,5.6,3.0
2022-08-18,0.0,76.0,26.8,6.4,3.0
2022-08-19,0.0,76.0,26.8,7.68,4.0
2022-08-20,0.0,78.0,27.3,7.92,5.0
2022-08-21,0.0,84.0,25.5,6.0,5.0
2022-08-22,58.5,90.0,24.9,2.72,4.0
2022-08-23,14.2,78.0,27.3,8.0,3.0
2022-08-24,14.5,82.0,26.8,7.44,4.0
2022-08-25,23.6,81.0,26.4,6.88,4.0
2022-08-26,0.0,85.0,25.3,5.92,3.0
2022-08-27,0.5,85.0,26.2,4.08,4.0
2022-08-28,22.0,87.0,25.4,4.24,4.0
2022-08-29,26.6,88.0,25.7,4.4,4.0
2022-08-30,27.3,86.0,26.3,6.48,4.0
2022-08-31,8.6,81.0,26.4,4.0,3.0
2022-09-01,0.0,86.0,26.4,3.2,3.0
2022-09-02,0.0,83.0,26.3,6.48,3.0
2022-09-03,0.3,85.0,26.1,6.32,4.0
2022-09-04,0.0,87.0,24.9,7.28,4.0
2022-09-05,11.9,80.0,27.0,5.44,3.0
2022-09-06,0.8,85.0,26.5,7.84,3.0
2022-09-07,25.7,89.0,25.3,5.28,5.0
2022-09-08,2.6,93.0,24.6,0.0,3.0
2022-09-09,37.7,90.0,24.4,2.0,2.0
2022-09-10,12.2,94.0,23.8,2.64,3.0
2022-09-11,19.9,86.0,25.4,7.12,3.0
2022-09-12,43.5,83.0,26.4,7.28,4.0
2022-09-13,1.5,86.0,25.3,4.8,4.0
2022-09-14,15.0,78.0,26.6,6.88,4.0
2022-09-15,0.0,78.0,26.4,6.0,4.0
2022-09-16,35.8,86.0,25.1,6.08,3.0
2022-09-17,58.2,83.0,25.9,7.2,3.0
2022-09-18,1.4,82.0,26.6,5.6,4.0
2022-09-19,22.5,82.0,25.9,8.0,3.0
2022-09-20,4.6,81.0,25.5,5.52,5.0
2022-09-21,3.9499999999999997,83.0,26.9,6.24,3.0
2022-09-22,3.3,88.0,25.5,4.0,3.0
2022-09-23,2.7,86.0,26.1,4.08,3.0
2022-09-24,22.3,84.0,25.8,7.84,3.0
2022-09-25,0.4,85.0,26.2,6.4,4.0
2022-09-26,0.5,79.0,26.9,5.92,3.0
2022-09-27,0.0,77.0,27.2,7.6,4.0
2022-09-28,17.0,83.0,25.9,6.0,5.0
2022-09-29,14.0,80.0,26.8,4.08,3.0
2022-09-30,0.4,79.0,26.9,3.92,3.0
2022-10-01,0.0,92.0,25.1,0.0,6.0
2022-10-02,46.0,86.0,26.4,3.44,3.0
2022-10-03,62.85,87.0,25.9,6.72,3.0
2022-10-04,79.7,90.0,25.1,3.84,4.0
2022-10-05,5.0,89.0,25.9,2.0,3.0
2022-10-06,15.4,88.0,25.7,5.04,3.0
2022-10-07,13.2,94.0,24.2,3.2,3.0
2022-10-08,37.4,87.0,25.3,1.68,3.0
2022-10-09,1.0,87.0,25.3,4.08,3.0
2022-10-10,41.5,82.0,26.3,1.6,4.0
2022-10-11,0.0,87.0,25.7,0.48,3.0
2022-10-12,57.2,87.0,25.1,4.88,4.0
2022-10-13,26.5,91.0,25.1,2.32,4.0
2022-10-14,4.4,86.0,26.4,7.68,3.0
2022-10-15,5.3,84.0,26.5,3.52,5.0
2022-10-16,0.5,84.0,26.9,4.88,3.0
2022-10-17,9.5,84.0,26.8,3.44,3.0
2022-10-18,11.0,90.0,25.8,1.6,2.0
2022-10-19,43.0,92.0,25.1,0.64,3.0
2022-10-20,34.3,93.0,25.1,2.64,2.0
2022-10-21,25.9,89.0,25.7,0.4,2.0
2022-10-22,0.2,84.0,26.9,5.6,3.0
2022-10-23,13.8,90.0,26.4,5.92,4.0
2022-10-24,2.3,86.0,25.9,4.4,3.0
2022-10-25,0.7,84.0,25.9,3.04,3.0
2022-10-26,21.8,90.0,25.6,0.24,3.0
2022-10-27,10.9,79.0,27.1,2.24,4.0
2022-10-28,0.0,74.0,26.8,6.24,3.0
